pal 2 x 2 cam
cha 2 x 1 cfc 
flu 1 x 0 jec
gre 3 x 3 pon
sao 2 x 1 fla 
spo 4 x 1 fig 
cap 3 x 0 int 
cru 0 x 1 cor 
ava 1 x 1 san 
vas 0 x 0 goi
goi 2 x 0 cap 
cfc 2 x 0 gre
cor 1 x 0 cha
fig 0 x 0 vas
cam 4 x 1 flu
fla 2 x 2 spo 
san 1 x 0 cru
int 1 x 0 ava 
pon 1 x 0 sao
jec 0 x 0 pal
vas 1 x 1 int 
sao 3 x 0 jec 
gre 1 x 0 fig 
pal 0 x 1 goi
cha 1 x 0 san 
cap 1 x 0 cam 
ava 2 x 1 fla 
flu 0 x 0 cor 
cru 1 x 1 pon 
spo 1 x 0 cor
pon 3 x 1 cha 
cfc 1 x 2 ava
jec 1 x 2 cap 
san 2 x 2 spo
cor 0 x 2 pal 
int 0 x 0 sao
cam 3 x 0 vas 
goi 1 x 1 gre
fig 2 x 1 cru 
fla 2 x 3 flu 
cha 2 x 0 jec 
cap 1 x 0 fig 
vas 0 x 3 pon 
sao 3 x 2 san 
ava 1 x 4 cam
cru 1 x 0 fla 
gre 3 x 1 cor 
flu 2 x 0 cfc 
spo 1 x 0 goi
pal 1 x 1 int 
san 2 x 2 pon 
fla 1 x 0 cha 
cam 1 x 3 cru 
jec 0 x 1 cor 
cap 2 x 0 vas 
sao 2 x 0 gre 
int 2 x 0 cfc 
fig 2 x 1 pal 
flu 0 x 0 spo
goi 0 x 1 ava
cam 2 x 2 san 
cha 0 x 1 sao 
cfc 0 x 1 fla 
cor 2 x 1 int 
vas 1 x 3 cru 
spo 2 x 1 jec 
pon 0 x 0 goi 
gre 2 x 1 cap 
ava 1 x 1 fig 
pal 2 x 1 flu
fig 0 x 0 int 
spo 2 x 1 vas 
san 1 x 0 cor 
fla 0 x 2 cam 
gre 1 x 0 pal 
cru 0 x 1 cha 
cap 2 x 2 cfc 
sao 1 x 1 ava 
jec 2 x 1 goi 
flu 2 x 0 pon 
cha 1 x 1 spo 
ava 1 x 2 gre 
cor 2 x 1 fig 
cam 1 x 0 jec 
pon 2 x 1 cap 
goi 1 x 2 flu 
cfc 1 x 0 cru 
pal 4 x 0 sao 
int 1 x 0 san 
vas 1 x 0 fla 
spo 3 x 0 int 
vas 1 x 0 ava 
pal 2 x 0 cha 
cam 2 x 0 cfc 
jec 0 x 1 fla 
gre 1 x 0 cru 
cap 2 x 1 sao 
cor 2 x 0 pon 
fig 3 x 1 goi 
flu 2 x 1 san 
cfc 0 x 0 jec 
cha 1 x 0 vas 
cru 2 x 0 cap 
ava 2 x 2 spo 
sao 0 x 0 flu 
san 1 x 3 gre
goi 0 x 0 cor
int 1 x 3 cam
fla 1 x 2 fig
pon 0 x 2 pal
cha 1 x 0 gre
cfc 0 x 0 pon
goi 4 x 1 san
pal 3 x 0 ava
fig 0 x 2 jec
cam 2 x 1 spo
int 1 x 2 fla
vas 0 x 4 sao
cor 2 x 0 cap
flu 1 x 0 cru
gre 2 x 0 vas 
san 3 x 0 fig 
pon 0 x 2 cam 
sao 3 x 1 cfc 
fla 0 x 3 cor 
cru 1 x 0 goi 
jec 0 x 2 int 
cap 1 x 2 flu 
spo 2 x 2 pal da Mata 
ava 2 x 1 cha 
int 2 x 1 goi 
fla 1 x 0 gre 
cor 1 x 0 cam 
cap 1 x 0 cha 
flu 1 x 2 vas 
pal 1 x 0 san 
fig 0 x 0 cfc 
spo 2 x 0 sao 
jec 1 x 1 pon 
cru 1 x 1 ava 
ava 1 x 2 cap 
gre 1 x 1 spo 
cam 1 x 0 fig 
san 2 x 0 jec 
cha 2 x 1 flu 
pon 0 x 0 int 
sao 1 x 0 cru 
cfc 1 x 1 cor 
goi 0 x 1 fla 
vas 1 x 4 pal 
cam 3 x 1 sao 
cor 3 x 0 vas 
flu 1 x 0 gre 
pal 0 x 1 cap 
cfc 1 x 1 goi 
fla 2 x 2 san 
int 0 x 0 cha 
fig 3 x 1 pon 
jec 2 x 0 ava 
spo 0 x 0 cru
ava 1 x 0 flu 
san 3 x 0 cfc 
cap 1 x 1 spo 
vas 0 x 0 jec 
cru 2 x 1 pal 
pon 1 x 0 fla 
sao 1 x 1 cor 
goi 0 x 0 cam 
cha 2 x 2 fig 
gre 5 x 0 int 
cfc 2 x 1 pal 
fla 3 x 2 cap 
san 1 x 0 vas 
goi 0 x 0 cha 
int 1 x 0 flu 
fig 0 x 2 sao
cor 4 x 3 spo 
pon 2 x 0 ava 
jec 3 x 0 cru 
cam 0 x 2 gre 
vas 0 x 1 cfc 
cap 0 x 0 san 
sao 0 x 3 goi 
pal 4 x 2 fla 
spo 1 x 1 pon 
ava 1 x 2 cor 
cru 0 x 0 int 
flu 2 x 1 fig 
gre 2 x 1 jec 
cha 2 x 1 cam 
goi  x  vas 
san  x  ava 
fig  x  spo
pon  x  gre 
cfc  x  cha 
jec  x  flu 
int  x  cap 
fla  x  sao 
cor  x  cru 
cam  x  pal 
